8715,MUSC 215,2,Advanced Keyboard Skills,1,NULL,Lab,TR,1500-1615,FERG 213,"Kim, Seung-Hye",6,Open,2022,Spring
8716,MUSC 200,2,Music Technology,1,NULL,Lec,MWF,1400-1450,FERG 213,"Staff, CNU",6,Open,2022,Spring
8717,ARAB 101,1R,Beginning Arabic I,3,NULL,Lec,MWF,1000-1050,MCM 300B,"Obeid, Diana",4,Open,2022,Spring
8718,ARAB 101,2R,Beginning Arabic I,3,NULL,Lec,MWF,1200-1250,MCM 300D,"Obeid, Diana",3,Open,2022,Spring
8720,CHIN 101,1R,Beginning Chinese I,3,NULL,Lec,MWF,1000-1050,MCM 200D,"Smith, Jonathan",8,Open,2022,Spring
8883,THEA 491,1,Theater Practicum,1 - 3,NULL,Pra,NULL,NULL,ARR ,"Sweet, Tanya",0,Closed,2022,Spring
8728,FREN 101,1R,Beginning French I,3,NULL,Lec,MWF,0800-0850,MCM 310,"Siewe Seuchie, Patricia",13,Open,2022,Spring
8729,FREN 101,2R,Beginning French I,3,NULL,Lec,MWF,0900-0950,MCM 310,"Siewe Seuchie, Patricia",0,Closed,2022,Spring
8738,GERM 101,1R,Beginning German I,3,NULL,Lec,MWF,0900-0950,MCM 162,"McInnis, Brian",15,Open,2022,Spring
8739,GERM 101,2R,Beginning German I,3,NULL,Lec,MWF,1100-1150,MCM 162,"McInnis, Brian",4,Open,2022,Spring
8746,GREK 101,1R,Beginning Ancient Greek I,3,NULL,Lec,MWF,1200-1250,MCM 310,"Padilla, Mark",1,Open,2022,Spring
8748,ITAL 101,1R,Beginning Italian I,3,NULL,Lec,MWF,0900-0950,MCM 360,"Sorbera, Valentina",6,Open,2022,Spring
8749,ITAL 101,2R,Beginning Italian I,3,NULL,Lec,MWF,1000-1050,MCM 360,"Sorbera, Valentina",0,Closed,2022,Spring
8751,LATN 101,1R,Beginning Latin I,3,NULL,Lec,MWF,1200-1250,MCM 160,"Adamitis, Jana",6,Open,2022,Spring
8752,LATN 101,2R,Beginning Latin I,3,NULL,Lec,MWF,1300-1350,MCM 160,"Adamitis, Jana",11,Open,2022,Spring
8761,MLAN 470,1,Teaching Modern Languages,3,NULL,Lec,T,1630-1915,MCM 312,"Grau, Michelle",4,Open,2022,Spring
8763,SPAN 101,1R,Beginning Spanish I,3,NULL,Lec,MWF,0800-0850,MCM 207,"Shaw, Stephen",8,Open,2022,Spring
8764,SPAN 101,2R,Beginning Spanish I,3,NULL,Lec,MWF,0900-0950,MCM 207,"Shaw, Stephen",0,Closed,2022,Spring
8765,SPAN 101,3R,Beginning Spanish I,3,NULL,Lec,MWF,1400-1450,MCM 257,"Freeman, Donna",0,Closed,2022,Spring
8766,SPAN 101,4R,Beginning Spanish I,3,NULL,Lec,MWF,1500-1550,MCM 257,"Freeman, Donna",0,Closed,2022,Spring
8935,PSYC 410,1,Tests and Measurement,3,NULL,Lec,TR,1330-1445,FORBES 2014,"Hart, Jason",0,Closed,2022,Spring
8921,PSYC 340,1,Adult Development and Aging,3,NULL,Lec,TR,1630-1745,FORBES 2002,"Riggins, Earl",13,Open,2022,Spring
8922,PSYC 350,1,Forensic Psychology,3,NULL,Lec,TR,1330-1445,FORBES 2070D,"Frieden, Fredrick",1,Open,2022,Spring
